"data_id","language","form","age","gender","mom_ed","comprehension","production"
30071,"Croatian","WS",30,"Female",NA,462,462
30072,"Croatian","WS",29,"Female",NA,527,527
30073,"Croatian","WS",27,"Female",NA,400,400
30074,"Croatian","WS",24,"Female",NA,448,448
30075,"Croatian","WS",24,"Female",NA,315,315
30076,"Croatian","WS",21,"Female",NA,274,274
30077,"Croatian","WS",20,"Female",NA,286,286
30078,"Croatian","WS",19,"Female",NA,287,287
30079,"Croatian","WS",18,"Female",NA,56,56
30080,"Croatian","WS",16,"Female",NA,9,9
30081,"Croatian","WS",17,"Male",NA,68,68
30082,"Croatian","WS",18,"Male",NA,51,51
30083,"Croatian","WS",21,"Male",NA,17,17
30084,"Croatian","WS",24,"Male",NA,448,448
30085,"Croatian","WS",25,"Male",NA,132,132
30086,"Croatian","WS",26,"Male",NA,282,282
30087,"Croatian","WS",27,"Male",NA,219,219
30088,"Croatian","WS",29,"Male",NA,570,570
30089,"Croatian","WS",30,"Male",NA,710,710
30090,"Croatian","WS",30,"Female",NA,409,409
30091,"Croatian","WS",27,"Female",NA,300,300
30092,"Croatian","WS",28,"Male",NA,444,444
30093,"Croatian","WS",23,"Female",NA,108,108
30094,"Croatian","WS",29,"Male",NA,464,464
30095,"Croatian","WS",17,"Male",NA,62,62
30096,"Croatian","WS",24,"Male",NA,86,86
30097,"Croatian","WS",18,"Male",NA,246,246
30098,"Croatian","WS",26,"Male",NA,97,97
30099,"Croatian","WS",25,"Female",NA,450,450
30100,"Croatian","WS",17,"Female",NA,213,213
30101,"Croatian","WS",19,"Female",NA,40,40
30102,"Croatian","WS",23,"Female",NA,456,456
30103,"Croatian","WS",25,"Female",NA,614,614
30104,"Croatian","WS",17,"Female",NA,9,9
30105,"Croatian","WS",24,"Female",NA,345,345
30106,"Croatian","WS",29,"Male",NA,449,449
30107,"Croatian","WS",18,"Male",NA,121,121
30108,"Croatian","WS",28,"Male",NA,344,344
30109,"Croatian","WS",16,"Male",NA,16,16
30110,"Croatian","WS",19,"Male",NA,75,75
30111,"Croatian","WS",22,"Male",NA,60,60
30112,"Croatian","WS",28,"Male",NA,536,536
30113,"Croatian","WS",30,"Female",NA,543,543
30114,"Croatian","WS",27,"Female",NA,349,349
30115,"Croatian","WS",25,"Female",NA,325,325
30116,"Croatian","WS",18,"Female",NA,36,36
30117,"Croatian","WS",17,"Female",NA,91,91
30118,"Croatian","WS",30,"Male",NA,567,567
30119,"Croatian","WS",28,"Male",NA,312,312
30120,"Croatian","WS",26,"Male",NA,329,329
30121,"Croatian","WS",26,"Male",NA,184,184
30122,"Croatian","WS",21,"Male",NA,108,108
30123,"Croatian","WS",21,"Male",NA,50,50
30124,"Croatian","WS",20,"Male",NA,95,95
30125,"Croatian","WS",26,"Male",NA,324,324
30126,"Croatian","WS",25,"Male",NA,391,391
30127,"Croatian","WS",28,"Male",NA,239,239
30128,"Croatian","WS",18,"Male",NA,24,24
30129,"Croatian","WS",25,"Male",NA,335,335
30130,"Croatian","WS",19,"Male",NA,87,87
30131,"Croatian","WS",24,"Male",NA,374,374
30132,"Croatian","WS",23,"Male",NA,172,172
30133,"Croatian","WS",28,"Male",NA,343,343
30134,"Croatian","WS",29,"Female",NA,240,240
30135,"Croatian","WS",26,"Female",NA,379,379
30136,"Croatian","WS",23,"Female",NA,101,101
30137,"Croatian","WS",21,"Female",NA,136,136
30138,"Croatian","WS",17,"Female",NA,47,47
30139,"Croatian","WS",18,"Female",NA,14,14
30140,"Croatian","WS",30,"Female",NA,391,391
30141,"Croatian","WS",20,"Female",NA,26,26
30142,"Croatian","WS",17,"Female",NA,57,57
30143,"Croatian","WS",28,"Female",NA,540,540
30144,"Croatian","WS",24,"Female",NA,91,91
30145,"Croatian","WS",22,"Female",NA,82,82
30146,"Croatian","WS",30,"Female",NA,548,548
30147,"Croatian","WS",22,"Female",NA,181,181
30148,"Croatian","WS",24,"Female",NA,343,343
30149,"Croatian","WS",26,"Female",NA,229,229
30150,"Croatian","WS",21,"Female",NA,23,23
30151,"Croatian","WS",25,"Female",NA,296,296
30152,"Croatian","WS",22,"Female",NA,137,137
30153,"Croatian","WS",25,"Female",NA,235,235
30154,"Croatian","WS",29,"Female",NA,574,574
30155,"Croatian","WS",16,"Male",NA,12,12
30156,"Croatian","WS",23,"Male",NA,41,41
30157,"Croatian","WS",27,"Male",NA,357,357
30158,"Croatian","WS",28,"Male",NA,425,425
30159,"Croatian","WS",29,"Male",NA,390,390
30160,"Croatian","WS",25,"Male",NA,410,410
30161,"Croatian","WS",20,"Male",NA,238,238
30162,"Croatian","WS",23,"Male",NA,73,73
30163,"Croatian","WS",27,"Male",NA,338,338
30164,"Croatian","WS",30,"Male",NA,531,531
30165,"Croatian","WS",18,"Male",NA,98,98
30166,"Croatian","WS",28,"Female",NA,408,408
30167,"Croatian","WS",19,"Female",NA,44,44
30168,"Croatian","WS",21,"Female",NA,212,212
30169,"Croatian","WS",22,"Female",NA,43,43
30170,"Croatian","WS",23,"Female",NA,396,396
30171,"Croatian","WS",25,"Female",NA,547,547
30172,"Croatian","WS",26,"Female",NA,351,351
30173,"Croatian","WS",28,"Female",NA,483,483
30174,"Croatian","WS",29,"Female",NA,420,420
30175,"Croatian","WS",30,"Female",NA,395,395
30176,"Croatian","WS",17,"Male",NA,21,21
30177,"Croatian","WS",18,"Male",NA,25,25
30178,"Croatian","WS",18,"Male",NA,70,70
30179,"Croatian","WS",20,"Male",NA,547,547
30180,"Croatian","WS",24,"Male",NA,121,121
30181,"Croatian","WS",25,"Male",NA,53,53
30182,"Croatian","WS",26,"Male",NA,362,362
30183,"Croatian","WS",26,"Male",NA,591,591
30184,"Croatian","WS",27,"Male",NA,655,655
30185,"Croatian","WS",30,"Male",NA,408,408
30186,"Croatian","WS",20,"Female",NA,185,185
30187,"Croatian","WS",21,"Female",NA,34,34
30188,"Croatian","WS",23,"Female",NA,105,105
30189,"Croatian","WS",18,"Female",NA,24,24
30190,"Croatian","WS",17,"Male",NA,19,19
30191,"Croatian","WS",29,"Female",NA,233,233
30192,"Croatian","WS",26,"Male",NA,348,348
30193,"Croatian","WS",23,"Female",NA,156,156
30194,"Croatian","WS",20,"Female",NA,104,104
30195,"Croatian","WS",18,"Female",NA,196,196
30196,"Croatian","WS",16,"Male",NA,14,14
30197,"Croatian","WS",19,"Male",NA,32,32
30198,"Croatian","WS",22,"Male",NA,166,166
30199,"Croatian","WS",24,"Male",NA,307,307
30200,"Croatian","WS",24,"Male",NA,539,539
30201,"Croatian","WS",30,"Female",NA,456,456
30202,"Croatian","WS",29,"Female",NA,145,145
30203,"Croatian","WS",26,"Female",NA,447,447
30204,"Croatian","WS",24,"Female",NA,303,303
30205,"Croatian","WS",24,"Female",NA,272,272
30206,"Croatian","WS",23,"Female",NA,260,260
30207,"Croatian","WS",20,"Female",NA,191,191
30208,"Croatian","WS",19,"Female",NA,148,148
30209,"Croatian","WS",29,"Male",NA,561,561
30210,"Croatian","WS",23,"Male",NA,380,380
30211,"Croatian","WS",21,"Male",NA,150,150
30212,"Croatian","WS",20,"Male",NA,48,48
30213,"Croatian","WS",29,"Female",NA,341,341
30214,"Croatian","WS",29,"Female",NA,307,307
30215,"Croatian","WS",29,"Female",NA,510,510
30216,"Croatian","WS",28,"Female",NA,529,529
30217,"Croatian","WS",26,"Female",NA,419,419
30218,"Croatian","WS",24,"Female",NA,293,293
30219,"Croatian","WS",22,"Female",NA,310,310
30220,"Croatian","WS",19,"Female",NA,217,217
30221,"Croatian","WS",16,"Female",NA,8,8
30222,"Croatian","WS",17,"Male",NA,23,23
30223,"Croatian","WS",17,"Male",NA,49,49
30224,"Croatian","WS",19,"Male",NA,297,297
30225,"Croatian","WS",18,"Male",NA,80,80
30226,"Croatian","WS",19,"Male",NA,65,65
30227,"Croatian","WS",20,"Male",NA,15,15
30228,"Croatian","WS",24,"Male",NA,151,151
30229,"Croatian","WS",25,"Male",NA,216,216
30230,"Croatian","WS",25,"Male",NA,136,136
