"id"	"age"	"r"	"n"	"loc"	"type"	"locgen"	"z"	"age.c"	"se"	"v"
"1583_all"	1314.9	0.51	45	"United States"	"comp"	"US"	0.562729769352149	626.9554296875	0.154303349962092	6.48074069840786
"1590_all"	547.875	0.297	46	"England"	"comp"	"other"	0.306226146252889	-140.0695703125	0.152498570332605	6.557438524302
"1591_all"	913.125	0.545	50	"United States"	"comp"	"US"	0.611240885190448	225.1804296875	0.145864991497895	6.85565460040104
"1582_Study3"	401.775	0.425	24	"United States"	"comp"	"US"	0.4537785259527	-286.1695703125	0.218217890235992	4.58257569495584
"1153_all"	1095.75	0.34	56	"United States"	"comp"	"US"	0.354092528962243	407.8054296875	0.137360563948689	7.28010988928052
"1133_infant"	367.685	-0.08	659	"United States"	"comp"	"US"	-0.0801713250375897	-320.2595703125	0.0390434404721515	25.6124969497314
"données de notre étude CCT"	949.65	0.337	89	"France"	"comp"	"other"	0.35070429345804	261.7054296875	0.107832773203438	9.2736184954957
"1585_highSES_study1"	493.391875	0.1248869026	72	"United States"	"comp"	"US"	0.125542323193137	-194.5526953125	0.120385853085769	8.30662386291807
"1585_highSES_study2"	493.391875	-0.09982803441	68	"United States/Mexico"	"comp"	"other"	-0.100161648130375	-194.5526953125	0.124034734589208	8.06225774829855
"1586_1"	1095.75	0.2599691791	216	NA	"comp"	NA	0.266075351709427	407.8054296875	0.0685188709827532	14.5945195193264
"1587_1_study1"	553.9625	0.2356337104	23	"United States"	"comp"	"US"	0.240146066182645	-133.9820703125	0.223606797749979	4.47213595499958
"1326_1_highSES"	730.5	0.188273297	92	"United States"	"comp"	"US"	0.19054640529856	42.5554296875	0.105999788000636	9.4339811320566
"1326_3_highSES"	1095.75	0.565328863	237	"United States"	"comp"	"US"	0.640630739363093	407.8054296875	0.0653720450460614	15.2970585407784
"1582_Study3"	657.45	0.425	24	"United States"	"prod"	"US"	0.4537785259527	-30.4945703124999	0.218217890235992	4.58257569495584
"1033_all"	547.875	0.34	48	"United States"	"prod"	"US"	0.354092528962243	-140.0695703125	0.149071198499986	6.70820393249937
"1033_all"	730.5	0.29	48	"United States"	"prod"	"US"	0.298566263660178	42.5554296875	0.149071198499986	6.70820393249937
"1133_toddler"	698.540625	0.05	1130	"United States"	"prod"	"US"	0.0500417292784913	10.5960546875	0.029787773436725	33.570820663189
"1092_all"	720.76	0.09	233	"United States"	"prod"	"US"	0.0902441878561468	32.8154296875	0.0659380473395787	15.1657508881031
"notre_CDI_production"	949.65	0.493	75	"France"	"prod"	"other"	0.540015896974004	261.7054296875	0.117851130197758	8.48528137423857
"1585_highSES_study1"	493.391875	0.05359645211	72	"United States"	"prod"	"US"	0.0536478607708114	-194.5526953125	0.120385853085769	8.30662386291807
"1585_highSES_study2"	493.391875	-0.0498481811	68	"United States/Mexico"	"prod"	"other"	-0.0498895310370439	-194.5526953125	0.124034734589208	8.06225774829855
"1587"	891.81875	-0.01435049383	11	"United States"	"prod"	"US"	-0.0143514790493911	203.8741796875	0.353553390593274	2.82842712474619
