age	lang	N	r.comp	r.prod
8	Danish	174	-0.0157549250782581	-0.0157549250782581
8	English	64	-0.417719647335407	-0.417719647335407
8	Norwegian	126	-0.148638350183996	-0.148638350183996
8	Spanish	71	-0.387703262644241	-0.387703262644241
9	Danish	196	-0.0876860537152895	-0.0876860537152895
9	English	89	-0.0564736699220851	-0.0564736699220851
9	Norwegian	180	-0.178278508539327	-0.178278508539327
9	Spanish	59	-0.135119053824162	-0.135119053824162
10	Danish	182	-0.00312457983088236	-0.00312457983088236
10	English	136	-0.158871015958045	-0.158871015958045
10	Norwegian	228	-0.214193222678786	-0.214193222678786
10	Spanish	77	-0.215865598734301	-0.215865598734301
11	British Sign Language	6	-0.239165447142145	-0.239165447142145
11	Danish	200	-0.1659025113562	-0.1659025113562
11	English	95	-0.20824503833451	-0.20824503833451
11	Norwegian	205	-0.161204697048524	-0.161204697048524
11	Spanish	65	-0.273807046776817	-0.273807046776817
12	British Sign Language	6	0.814064825837861	0.814064825837861
12	Danish	188	-0.0810257556802839	-0.0810257556802839
12	English	157	0.113236355298694	0.113236355298694
12	Hebrew	7	0.695560348308324	0.695560348308324
12	Norwegian	247	-0.159459670196829	-0.159459670196829
12	Spanish	96	-0.192090884779219	-0.192090884779219
13	British Sign Language	6	-0.53923022056375	-0.53923022056375
13	Danish	216	0.000295518274656471	0.000295518274656471
13	English	117	0.03019962034808	0.03019962034808
13	Norwegian	259	-0.220375220356875	-0.220375220356875
13	Spanish	80	-0.185588990599985	-0.185588990599985
14	British Sign Language	7	0.0597394894982659	0.0597394894982659
14	Danish	178	-0.0420809225408277	-0.0420809225408277
14	English	111	-0.216996711131538	-0.216996711131538
14	Norwegian	256	-0.166213432621626	-0.166213432621626
14	Spanish	75	0.0184943246109881	0.0184943246109881
15	British Sign Language	6	0.608810750152095	0.608810750152095
15	Danish	203	-0.0923382154537121	-0.0923382154537121
15	English	93	0.129594904338412	0.129594904338412
15	Norwegian	259	-0.0584779482479075	-0.0584779482479075
15	Spanish	66	0.0677943349568336	0.0677943349568336
16	British Sign Language	7	-0.0447592777677862	-0.0447592777677862
16	Danish	175	0.00272117255612472	0.00272117255612472
16	English	84	-0.00163338060976804	-0.00163338060976804
16	Norwegian	214	-0.136660834186355	-0.136660834186355
16	Spanish	60	-0.00462606340471693	-0.00462606340471693
17	British Sign Language	7	0.746224918011353	0.746224918011353
17	Danish	170	-0.0985464210083896	-0.0985464210083896
17	English	74	0.0458446919002768	0.0458446919002768
17	Norwegian	220	-0.0691446497339734	-0.0691446497339734
17	Spanish	67	0.0838052634294039	0.0838052634294039
18	British Sign Language	8	0.170475868575752	0.170475868575752
18	Danish	198	0.0191221703601422	0.0191221703601422
18	English	66	0.0956835418106286	0.0956835418106286
18	Norwegian	229	-0.06832114998741	-0.06832114998741
18	Spanish	62	0.236587585496727	0.236587585496727
19	British Sign Language	8	0.285204631890308	0.285204631890308
19	Danish	156	-0.0366752477245327	-0.0366752477245327
19	Hebrew	7	-0.175853792404511	-0.175853792404511
19	Norwegian	236	-0.0384416151595805	-0.0384416151595805
20	British Sign Language	11	0.241922489685537	0.241922489685537
20	Danish	162	-0.0592921977419774	-0.0592921977419774
20	Hebrew	7	-0.277647024135107	-0.277647024135107
20	Norwegian	251	-0.0946960388783473	-0.0946960388783473
21	British Sign Language	5	-0.368927436499439	-0.368927436499439
21	Hebrew	5	-0.742450763420869	-0.742450763420869
22	British Sign Language	6	0.692529312412913	0.692529312412913
23	British Sign Language	7	0.91151324639888	0.91151324639888
23	Hebrew	10	-0.301108248789861	-0.301108248789861
24	British Sign Language	5	-0.115686332109133	-0.115686332109133
24	Hebrew	7	0.394669470437131	0.394669470437131
25	British Sign Language	7	0.5201323196192	0.5201323196192
26	British Sign Language	6	-0.0788304260096871	-0.0788304260096871
27	British Sign Language	6	0.599850945101335	0.599850945101335
29	British Sign Language	7	0.587968923500805	0.587968923500805
30	British Sign Language	5	0.217634675046406	0.217634675046406
32	British Sign Language	6	0.678420751339205	0.678420751339205
33	British Sign Language	5	0.82745567961597	0.82745567961597
